"filename", "language", "PHP", "JSON", "Markdown", "CSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\routeready\app\config\config.php", "PHP", 8, 0, 0, 0, 0, 4, 4, 16
"c:\xampp\htdocs\routeready\app\controllers\Admins.php", "PHP", 389, 0, 0, 0, 0, 59, 132, 580
"c:\xampp\htdocs\routeready\app\controllers\Drivers.php", "PHP", 436, 0, 0, 0, 0, 89, 72, 597
"c:\xampp\htdocs\routeready\app\controllers\Employees.php", "PHP", 463, 0, 0, 0, 0, 96, 130, 689
"c:\xampp\htdocs\routeready\app\controllers\Hrmanagers.php", "PHP", 321, 0, 0, 0, 0, 43, 40, 404
"c:\xampp\htdocs\routeready\app\controllers\Pages.php", "PHP", 150, 0, 0, 0, 0, 4, 17, 171
"c:\xampp\htdocs\routeready\app\controllers\Posts.php", "PHP", 134, 0, 0, 0, 0, 27, 45, 206
"c:\xampp\htdocs\routeready\app\controllers\Reports.php", "PHP", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\routeready\app\controllers\ReservationPayment.php", "PHP", 27, 0, 0, 0, 0, 5, 9, 41
"c:\xampp\htdocs\routeready\app\controllers\Users.php", "PHP", 325, 0, 0, 0, 0, 53, 73, 451
"c:\xampp\htdocs\routeready\app\helpers\session_helper.php", "PHP", 28, 0, 0, 0, 0, 3, 9, 40
"c:\xampp\htdocs\routeready\app\helpers\url_helper.php", "PHP", 4, 0, 0, 0, 0, 1, 1, 6
"c:\xampp\htdocs\routeready\app\init.php", "PHP", 7, 0, 0, 0, 0, 7, 4, 18
"c:\xampp\htdocs\routeready\app\libraries\Controller.php", "PHP", 14, 0, 0, 0, 0, 8, 3, 25
"c:\xampp\htdocs\routeready\app\libraries\Core.php", "PHP", 33, 0, 0, 0, 0, 16, 10, 59
"c:\xampp\htdocs\routeready\app\libraries\Database.php", "PHP", 58, 0, 0, 0, 0, 8, 13, 79
"c:\xampp\htdocs\routeready\app\libraries\Mail.php", "PHP", 37, 0, 0, 0, 0, 0, 1, 38
"c:\xampp\htdocs\routeready\app\libraries\mail\README.md", "Markdown", 0, 0, 168, 0, 0, 0, 1, 169
"c:\xampp\htdocs\routeready\app\libraries\mail\SECURITY.md", "Markdown", 0, 0, 19, 0, 0, 0, 1, 20
"c:\xampp\htdocs\routeready\app\libraries\mail\composer.json", "JSON", 0, 79, 0, 0, 0, 0, 1, 80
"c:\xampp\htdocs\routeready\app\libraries\mail\get_oauth_token.php", "PHP", 117, 0, 0, 0, 0, 48, 1, 166
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 4, 1, 25
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ar.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-as.php", "PHP", 28, 0, 0, 0, 0, 5, 1, 34
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-bn.php", "PHP", 28, 0, 0, 0, 0, 5, 1, 34
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ca.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-cs.php", "PHP", 22, 0, 0, 0, 0, 4, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-da.php", "PHP", 27, 0, 0, 0, 0, 7, 1, 35
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-de.php", "PHP", 22, 0, 0, 0, 0, 4, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-el.php", "PHP", 27, 0, 0, 0, 0, 4, 1, 32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-eo.php", "PHP", 20, 0, 0, 0, 0, 4, 1, 25
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-es.php", "PHP", 23, 0, 0, 0, 0, 6, 1, 30
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-et.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-fa.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-fi.php", "PHP", 13, 0, 0, 0, 0, 12, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-fo.php", "PHP", 13, 0, 0, 0, 0, 12, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-fr.php", "PHP", 27, 0, 0, 0, 0, 8, 1, 36
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-gl.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-he.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-hi.php", "PHP", 27, 0, 0, 0, 0, 6, 1, 34
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-hr.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-hu.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-hy.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-id.php", "PHP", 22, 0, 0, 0, 0, 7, 1, 30
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-it.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ja.php", "PHP", 20, 0, 0, 0, 0, 7, 1, 28
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ka.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ko.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-lt.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-lv.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-mg.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-mn.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ms.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-nb.php", "PHP", 27, 0, 0, 0, 0, 4, 1, 32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-nl.php", "PHP", 27, 0, 0, 0, 0, 5, 1, 33
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-pl.php", "PHP", 27, 0, 0, 0, 0, 4, 1, 32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-pt.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-pt_br.php", "PHP", 27, 0, 0, 0, 0, 9, 1, 37
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ro.php", "PHP", 27, 0, 0, 0, 0, 4, 1, 32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ru.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-si.php", "PHP", 27, 0, 0, 0, 0, 5, 1, 33
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sk.php", "PHP", 22, 0, 0, 0, 0, 6, 1, 29
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sl.php", "PHP", 27, 0, 0, 0, 0, 7, 1, 35
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sr.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sr_latn.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sv.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-tl.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-tr.php", "PHP", 20, 0, 0, 0, 0, 9, 1, 30
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-uk.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-vi.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-zh.php", "PHP", 20, 0, 0, 0, 0, 7, 1, 28
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-zh_cn.php", "PHP", 27, 0, 0, 0, 0, 7, 1, 35
"c:\xampp\htdocs\routeready\app\libraries\mail\src\DSNConfigurator.php", "PHP", 136, 0, 0, 0, 0, 80, 1, 217
"c:\xampp\htdocs\routeready\app\libraries\mail\src\Exception.php", "PHP", 9, 0, 0, 0, 0, 28, 1, 38
"c:\xampp\htdocs\routeready\app\libraries\mail\src\OAuth.php", "PHP", 46, 0, 0, 0, 0, 79, 1, 126
"c:\xampp\htdocs\routeready\app\libraries\mail\src\OAuthTokenProvider.php", "PHP", 6, 0, 0, 0, 0, 35, 1, 42
"c:\xampp\htdocs\routeready\app\libraries\mail\src\PHPMailer.php", "PHP", 2926, 0, 0, 0, 0, 1933, 1, 4860
"c:\xampp\htdocs\routeready\app\libraries\mail\src\POP3.php", "PHP", 181, 0, 0, 0, 0, 234, 1, 416
"c:\xampp\htdocs\routeready\app\libraries\mail\src\SMTP.php", "PHP", 737, 0, 0, 0, 0, 617, 1, 1355
"c:\xampp\htdocs\routeready\app\models\Admin.php", "PHP", 73, 0, 0, 0, 0, 8, 18, 99
"c:\xampp\htdocs\routeready\app\models\BankModel.php", "PHP", 20, 0, 0, 0, 0, 4, 6, 30
"c:\xampp\htdocs\routeready\app\models\Driver.php", "PHP", 165, 0, 0, 0, 0, 30, 42, 237
"c:\xampp\htdocs\routeready\app\models\EmployeeReservation.php", "PHP", 228, 0, 0, 0, 0, 18, 46, 292
"c:\xampp\htdocs\routeready\app\models\Leave.php", "PHP", 94, 0, 0, 0, 0, 15, 56, 165
"c:\xampp\htdocs\routeready\app\models\Model.php", "PHP", 32, 0, 0, 0, 0, 24, 11, 67
"c:\xampp\htdocs\routeready\app\models\OutSalaryModel.php", "PHP", 26, 0, 0, 0, 0, 5, 4, 35
"c:\xampp\htdocs\routeready\app\models\Post.php", "PHP", 61, 0, 0, 0, 0, 6, 13, 80
"c:\xampp\htdocs\routeready\app\models\ReservationModel.php", "PHP", 15, 0, 0, 0, 0, 1, 3, 19
"c:\xampp\htdocs\routeready\app\models\User.php", "PHP", 185, 0, 0, 0, 0, 33, 53, 271
"c:\xampp\htdocs\routeready\app\models\Vehicle.php", "PHP", 145, 0, 0, 0, 0, 23, 70, 238
"c:\xampp\htdocs\routeready\app\models\WorkTrip.php", "PHP", 92, 0, 0, 0, 0, 5, 18, 115
"c:\xampp\htdocs\routeready\app\views\includes\footer.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\routeready\app\views\includes\header.php", "PHP", 12, 0, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\routeready\app\views\includes\navbar.php", "PHP", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\routeready\app\views\pages\admin\addVehicles.php", "PHP", 326, 0, 0, 0, 0, 16, 57, 399
"c:\xampp\htdocs\routeready\app\views\pages\admin\as_employee.php", "PHP", 54, 0, 0, 0, 0, 0, 6, 60
"c:\xampp\htdocs\routeready\app\views\pages\admin\available_vehicles.php", "PHP", 216, 0, 0, 0, 0, 5, 35, 256
"c:\xampp\htdocs\routeready\app\views\pages\admin\edit_vehicle.php", "PHP", 256, 0, 0, 0, 0, 8, 41, 305
"c:\xampp\htdocs\routeready\app\views\pages\admin\full_booking.php", "PHP", 74, 0, 0, 0, 0, 0, 5, 79
"c:\xampp\htdocs\routeready\app\views\pages\admin\full_day_booking.php", "PHP", 265, 0, 0, 0, 0, 9, 33, 307
"c:\xampp\htdocs\routeready\app\views\pages\admin\home_admin.php", "PHP", 162, 0, 0, 0, 0, 0, 15, 177
"c:\xampp\htdocs\routeready\app\views\pages\admin\leaves_admin.php", "PHP", 262, 0, 0, 0, 0, 2, 23, 287
"c:\xampp\htdocs\routeready\app\views\pages\admin\out_salary.php", "PHP", 246, 0, 0, 0, 0, 1, 27, 274
"c:\xampp\htdocs\routeready\app\views\pages\admin\schedule_view.php", "PHP", 120, 0, 0, 0, 0, 5, 18, 143
"c:\xampp\htdocs\routeready\app\views\pages\admin\viewPendingWorkTrips.php", "PHP", 237, 0, 0, 0, 0, 1, 25, 263
"c:\xampp\htdocs\routeready\app\views\pages\admin\viewVehicles.php", "PHP", 241, 0, 0, 0, 0, 5, 35, 281
"c:\xampp\htdocs\routeready\app\views\pages\admin\viewVehicles_more.php", "PHP", 218, 0, 0, 0, 0, 5, 22, 245
"c:\xampp\htdocs\routeready\app\views\pages\admin\view_hr.php", "PHP", 267, 0, 0, 0, 0, 1, 32, 300
"c:\xampp\htdocs\routeready\app\views\pages\admin\view_schedule.php", "PHP", 474, 0, 0, 0, 0, 31, 71, 576
"c:\xampp\htdocs\routeready\app\views\pages\driver\add_bank_details.php", "PHP", 123, 0, 0, 0, 0, 2, 9, 134
"c:\xampp\htdocs\routeready\app\views\pages\driver\applied_leaves.php", "PHP", 226, 0, 0, 0, 0, 1, 19, 246
"c:\xampp\htdocs\routeready\app\views\pages\driver\apply_leaves.php", "PHP", 318, 0, 0, 0, 0, 19, 40, 377
"c:\xampp\htdocs\routeready\app\views\pages\driver\driver_edit_osprofile.php", "PHP", 95, 0, 0, 0, 0, 0, 11, 106
"c:\xampp\htdocs\routeready\app\views\pages\driver\driver_edit_profile.php", "PHP", 95, 0, 0, 0, 0, 0, 11, 106
"c:\xampp\htdocs\routeready\app\views\pages\driver\driver_profile.php", "PHP", 69, 0, 0, 0, 0, 0, 9, 78
"c:\xampp\htdocs\routeready\app\views\pages\driver\edit_applied_leaves.php", "PHP", 155, 0, 0, 0, 0, 6, 15, 176
"c:\xampp\htdocs\routeready\app\views\pages\driver\edit_bank_details.php", "PHP", 248, 0, 0, 0, 0, 2, 20, 270
"c:\xampp\htdocs\routeready\app\views\pages\driver\home_driver.php", "PHP", 243, 0, 0, 0, 0, 2, 26, 271
"c:\xampp\htdocs\routeready\app\views\pages\driver\view_bank_details.php", "PHP", 275, 0, 0, 0, 0, 13, 27, 315
"c:\xampp\htdocs\routeready\app\views\pages\driver\view_salary_details.php", "PHP", 206, 0, 0, 0, 0, 5, 26, 237
"c:\xampp\htdocs\routeready\app\views\pages\driver\view_schedule.php", "PHP", 222, 0, 0, 0, 0, 5, 28, 255
"c:\xampp\htdocs\routeready\app\views\pages\edit_profile.php", "PHP", 79, 0, 0, 0, 0, 0, 8, 87
"c:\xampp\htdocs\routeready\app\views\pages\employee\editDailyReservation.php", "PHP", 416, 0, 0, 0, 0, 20, 60, 496
"c:\xampp\htdocs\routeready\app\views\pages\employee\editMonthlyReservation.php", "PHP", 372, 0, 0, 0, 0, 16, 45, 433
"c:\xampp\htdocs\routeready\app\views\pages\employee\editWorkTrips.php", "PHP", 379, 0, 0, 0, 0, 20, 62, 461
"c:\xampp\htdocs\routeready\app\views\pages\employee\employeeHome.php", "PHP", 239, 0, 0, 0, 0, 2, 25, 266
"c:\xampp\htdocs\routeready\app\views\pages\employee\makeReservation.php", "PHP", 515, 0, 0, 0, 0, 17, 81, 613
"c:\xampp\htdocs\routeready\app\views\pages\employee\makeWorkTrip.php", "PHP", 303, 0, 0, 0, 0, 11, 44, 358
"c:\xampp\htdocs\routeready\app\views\pages\employee\viewMonthlyPayments.php", "PHP", 271, 0, 0, 0, 0, 15, 35, 321
"c:\xampp\htdocs\routeready\app\views\pages\employee\viewMonthlyReservations.php", "PHP", 214, 0, 0, 0, 0, 3, 33, 250
"c:\xampp\htdocs\routeready\app\views\pages\employee\viewReservations.php", "PHP", 392, 0, 0, 0, 0, 19, 43, 454
"c:\xampp\htdocs\routeready\app\views\pages\employee\viewWorkTrips.php", "PHP", 268, 0, 0, 0, 0, 9, 33, 310
"c:\xampp\htdocs\routeready\app\views\pages\home.php", "PHP", 134, 0, 0, 0, 0, 0, 9, 143
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\about.php", "PHP", 3, 0, 0, 0, 0, 0, 2, 5
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\as_employee.php", "PHP", 54, 0, 0, 0, 0, 0, 6, 60
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\dashboard_hr.php", "PHP", 111, 0, 0, 0, 0, 0, 12, 123
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\home_hr.php", "PHP", 153, 0, 0, 0, 0, 0, 11, 164
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\payments.php", "PHP", 275, 0, 0, 0, 0, 3, 42, 320
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\t&c\add_t&c.php", "PHP", 208, 0, 0, 0, 0, 3, 39, 250
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\t&c\edit_t&c.php", "PHP", 204, 0, 0, 0, 0, 4, 33, 241
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\t&c\show_t&c.php", "PHP", 159, 0, 0, 0, 0, 1, 32, 192
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\t&c\t&c.php", "PHP", 183, 0, 0, 0, 0, 1, 30, 214
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_drivers.php", "PHP", 56, 0, 0, 0, 0, 0, 5, 61
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_drivers_more.php", "PHP", 94, 0, 0, 0, 0, 0, 11, 105
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_employees.php", "PHP", 90, 0, 0, 0, 0, 0, 6, 96
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_osdrivers.php", "PHP", 58, 0, 0, 0, 0, 0, 6, 64
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_osdrivers_more.php", "PHP", 256, 0, 0, 0, 0, 5, 44, 305
"c:\xampp\htdocs\routeready\app\views\pages\index.php", "PHP", 140, 0, 0, 0, 0, 0, 8, 148
"c:\xampp\htdocs\routeready\app\views\pages\profile.php", "PHP", 44, 0, 0, 0, 0, 0, 5, 49
"c:\xampp\htdocs\routeready\app\views\pages\terms_conditions.php", "PHP", 72, 0, 0, 0, 0, 2, 10, 84
"c:\xampp\htdocs\routeready\app\views\users\login.php", "PHP", 58, 0, 0, 0, 0, 0, 6, 64
"c:\xampp\htdocs\routeready\app\views\users\register.php", "PHP", 314, 0, 0, 0, 0, 6, 32, 352
"c:\xampp\htdocs\routeready\public\css\content.css", "CSS", 0, 0, 0, -114, 0, -4, -21, -139
"c:\xampp\htdocs\routeready\public\css\dashboard.css", "CSS", 0, 0, 0, -159, 0, -11, -27, -197
"c:\xampp\htdocs\routeready\public\css\driver\driver.css", "CSS", 0, 0, 0, -129, 0, -2, -32, -163
"c:\xampp\htdocs\routeready\public\css\edit_profile.css", "CSS", 0, 0, 0, -215, 0, -16, -52, -283
"c:\xampp\htdocs\routeready\public\css\employee\employee.css", "CSS", 0, 0, 0, -130, 0, -2, -31, -163
"c:\xampp\htdocs\routeready\public\css\index\index.css", "CSS", 0, 0, 0, -554, 0, -1, -116, -671
"c:\xampp\htdocs\routeready\public\css\logreg\logreg.css", "CSS", 0, 0, 0, -262, 0, -18, -46, -326
"c:\xampp\htdocs\routeready\public\css\navbar.css", "CSS", 0, 0, 0, -157, 0, -1, -25, -183
"c:\xampp\htdocs\routeready\public\css\navbar2.css", "CSS", 0, 0, 0, -157, 0, -2, -28, -187
"c:\xampp\htdocs\routeready\public\css\profile.css", "CSS", 0, 0, 0, -187, 0, -7, -50, -244
"c:\xampp\htdocs\routeready\public\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, -1, -1
"c:\xampp\htdocs\routeready\public\index.php", "PHP", -3, 0, 0, 0, 0, -1, -1, -5
"c:\xampp\htdocs\routeready\public\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"Total", "-", 20735, 79, 187, -2064, 0, 4209, 2045, 25191